,automation_company,security_provider,partnership_type,services_offered,marketed_solution,sectors,sources,service_tags,water_relevance
0,Yokogawa,Dragos,Global partnership; technology & services integration,"OT visibility, asset/vuln discovery, threat detection, IR playbooks; global OT services",Integration with CENTUM VP DCS; joint OT services,Process industries incl. water & wastewater,https://www.dragos.com/resources/press-release/dragos-and-yokogawa-forge-global-partnership-to-strengthen-cybersecurity-for-industrial-systems-worldwide/,"['Asset inventory', 'IR/Playbooks', 'OT monitoring/detection', 'Vulnerability management']",True
1,Yokogawa,Nozomi Networks,MSSP/resell & services partnership (extended),"OT/IoT visibility, network monitoring, threat detection",Included in Yokogawa OpreX Managed Services; standalone resale,Global; water/utilities among focus verticals,https://www.nozominetworks.com/press-release/nozomi-networks-extends-partnership-with-yokogawa,['OT monitoring/detection'],True
2,Yokogawa,Xage Security,Strategic partnership (APAC focus),"Zero Trust remote access, policy enforcement, secure data exchange",Zero Trust access for autonomous industrial operations,APAC; applicable to water/utilities,https://xage.com/blog/yokogawa-partnership/,['Zero-trust remote access'],True
4,Siemens Energy,Tenable,Expanded collaboration; product integration,"Asset discovery, vulnerability mgmt, NIDS for OT",Integrated into Omnivise T3000 control system,Power; applicable to utilities,https://www.tenable.com/press-releases/tenable-and-siemens-energy-expand-collaboration-on-ot-cybersecurity,"['Asset inventory', 'NIDS', 'Vulnerability management']",True
6,Siemens,Fortinet,Technology alliance,"Firewalling/IPS, segmentation, secure connectivity at edge",FortiGate VM on Siemens RUGGEDCOM/APE platform,Industrial/critical infrastructure incl. utilities,https://www.fortinet.com/content/dam/fortinet/assets/alliances/2019/sb-fortinet-alliances-siemens.pdf,['Network security/segmentation'],True
9,Honeywell,Nozomi Networks,Cybersecurity partnership,OT/IoT visibility & monitoring combined with Honeywell Forge services,Honeywell Forge Cybersecurity+ with Nozomi,Industrial & critical infrastructure incl. utilities,https://www.honeywell.com/us/en/press/2020/11/honeywell-and-nozomi-networks-announce-partnership-to-significantly-strengthen-operational-technology-cybersecurity,['OT monitoring/detection'],True
16,Emerson,Dragos,Expanded global agreement,ICS threat detection integrated to DCS; services for power/water,Ovation Power & Water Cybersecurity Suite; validated on DeltaV,"Power & water utilities, process industries",https://www.emerson.com/en-us/news/automation/1907-dragos,['OT monitoring/detection'],True
17,Emerson,Nozomi Networks,Expanded partnership,OT/IoT visibility & threat detection,Offered via Emerson Power and Water Cybersecurity suite,Power & water utilities,https://www.nozominetworks.com/press-release/emerson-and-nozomi-networks-extend-relationship-to-help-secure-critical-power-and-water-processes-worldwide,['OT monitoring/detection'],True
21,ABB,Microsoft (Azure/Defender ecosystem),Strategic collaboration,Cloud + AI + security for industrial operations,ABB Ability platform on Azure; security whitepaper with Microsoft/NXP,Industrial & utilities,https://azure.microsoft.com/mediahandler/files/resourcefiles/-a-solution-for-360-degree-industrial-internet-security/ABB-MSFT-NXP_Cybersecurity%20Whitepaper_2021.pdf,[],True
22,GE (Digital/Power/Vernova),Nozomi Networks,Global partnership,OT visibility & real-time monitoring,GE Power customer deployments; Proficy integration by partners,Energy & critical infrastructure; applicable to water,https://www.nozominetworks.com/press-release/ge-and-nozomi-networks-to-enhance-cyber-security-for-energy-and-industrial-operators-worldwide,['OT monitoring/detection'],True
