automation_company,security_provider,partnership_type,services_offered,marketed_solution,sectors,sources
Yokogawa,Dragos,Global partnership; technology & services integration,"OT visibility, asset/vuln discovery, threat detection, IR playbooks; global OT services",Integration with CENTUM VP DCS; joint OT services,Process industries incl. water & wastewater,https://www.dragos.com/resources/press-release/dragos-and-yokogawa-forge-global-partnership-to-strengthen-cybersecurity-for-industrial-systems-worldwide/
Yokogawa,Nozomi Networks,MSSP/resell & services partnership (extended),"OT/IoT visibility, network monitoring, threat detection",Included in Yokogawa OpreX Managed Services; standalone resale,Global; water/utilities among focus verticals,https://www.nozominetworks.com/press-release/nozomi-networks-extends-partnership-with-yokogawa
Yokogawa,Xage Security,Strategic partnership (APAC focus),"Zero Trust remote access, policy enforcement, secure data exchange",Zero Trust access for autonomous industrial operations,APAC; applicable to water/utilities,https://xage.com/blog/yokogawa-partnership/
Yokogawa,Claroty,Reseller & services (EMEA/APAC),"OT security platform (visibility, detection, risk mgmt)",Resell & services for process industries,EMEA/APAC,https://claroty.com/press-releases/claroty-and-yokogawa-engineering-asia-partner-to-secure-process-operations
Siemens Energy,Tenable,Expanded collaboration; product integration,"Asset discovery, vulnerability mgmt, NIDS for OT",Integrated into Omnivise T3000 control system,Power; applicable to utilities,https://www.tenable.com/press-releases/tenable-and-siemens-energy-expand-collaboration-on-ot-cybersecurity
Siemens,Zscaler,Integrated zero-trust access for OT/IT,Zero Trust Network Access (ZPA) for OT,ZPA for OT + Siemens SCALANCE LPE,Manufacturing & critical infrastructure,https://www.zscaler.com/press/zscaler-and-siemens-partnership-delivers-all-one-solution-accelerate-secure-digitalization-ot
Siemens,Fortinet,Technology alliance,"Firewalling/IPS, segmentation, secure connectivity at edge",FortiGate VM on Siemens RUGGEDCOM/APE platform,Industrial/critical infrastructure incl. utilities,https://www.fortinet.com/content/dam/fortinet/assets/alliances/2019/sb-fortinet-alliances-siemens.pdf
Siemens,Darktrace,Strategic partnership,AI-driven OT anomaly/threat detection,Siemens OT cyber services + Darktrace DETECT/RESPOND,Energy & manufacturing,https://www.darktrace.com/news/darktrace-enters-into-strategic-cyber-security-partnership-with-siemens
Siemens,ServiceNow,Strategic collaboration,"Industrial vuln mgmt workflows, shopfloor security ops automation",SINEC Security Guard + Industrial Copilot integrated with Now Platform,Manufacturing,https://press.siemens.com/global/en/pressrelease/siemens-and-servicenow-strengthen-shopfloor-security-and-drive-generative-ai-powered
Honeywell,Nozomi Networks,Cybersecurity partnership,OT/IoT visibility & monitoring combined with Honeywell Forge services,Honeywell Forge Cybersecurity+ with Nozomi,Industrial & critical infrastructure incl. utilities,https://www.honeywell.com/us/en/press/2020/11/honeywell-and-nozomi-networks-announce-partnership-to-significantly-strengthen-operational-technology-cybersecurity
Honeywell,Fortinet,Strategic alliance (portfolio enhancement),Secure networking & OT security integration,Integrated with Honeywell OT cybersecurity offerings,Critical infrastructure,https://www.honeywell.com/us/en/company/partners
Honeywell,SCADAfence,Acquisition (integrated into Forge suite),"OT network monitoring, threat detection, vuln mgmt",SCADAfence integrated into Honeywell Forge Cybersecurity+,Industrial/critical infrastructure,https://www.honeywell.com/us/en/press/2023/07/honeywell-to-acquire-scadafence-strengthening-its-cybersecurity-software-portfolio
Rockwell Automation,Dragos,Technology & services partnership,"ICS/OT threat detection, IR retainers, MDR services via partner",Threat Detection Services featuring Dragos Platform,Manufacturing & other OT verticals,https://www.rockwellautomation.com/en-us/company/news/press-releases/Rockwell-Automation-Partners-with-Dragos-to-Enable-and-Empower-Manufacturers-with-Threat-Detection-Services.html
Rockwell Automation,Claroty,Technology & services partnership,OT visibility & threat detection; resilience services,Rockwell + Claroty OT Cybersecurity Resilience,Manufacturing & critical infrastructure,https://www.rockwellautomation.com/en-us/capabilities/industrial-cybersecurity/rockwell-automation-claroty-cybersecurity-resilience.html
Rockwell Automation,CrowdStrike,Endpoint protection services partnership,EPP/EDR for engineering workstations/servers; managed services,Rockwell Endpoint Protection Services (with CrowdStrike Falcon),Manufacturing,https://www.rockwellautomation.com/en-us/company/news/press-releases/Rockwell-Automation-Offers-Comprehensive-Endpoint-Protection-Services.html
Rockwell Automation,Oylo (acquired),Acquisition (MSSP/IR),"Assessments, turnkey implementations, managed services, incident response",Rockwell Industrial Cybersecurity Services (via Oylo),Global industrials,https://www.rockwellautomation.com/en-au/company/news/press-releases/company/rockwell-automation-acquires-cybersecurity-company.html
Emerson,Dragos,Expanded global agreement,ICS threat detection integrated to DCS; services for power/water,Ovation Power & Water Cybersecurity Suite; validated on DeltaV,"Power & water utilities, process industries",https://www.emerson.com/en-us/news/automation/1907-dragos
Emerson,Nozomi Networks,Expanded partnership,OT/IoT visibility & threat detection,Offered via Emerson Power and Water Cybersecurity suite,Power & water utilities,https://www.nozominetworks.com/press-release/emerson-and-nozomi-networks-extend-relationship-to-help-secure-critical-power-and-water-processes-worldwide
Schneider Electric,Claroty,Strategic partnership,OT visibility & anomaly detection,EcoStruxure integrations; Claroty platform for Schneider customers,Industrial & critical infrastructure,https://claroty.com/press-releases/schneider-electric-and-claroty-partner-to-address-safety-and-cybersecurity-challenges-in-global-industrial-infrastructure
Schneider Electric,Nozomi Networks,Global partnership & MSSP Elite,"OT/IoT visibility, anomaly detection; managed services",SCADAguardian / Nozomi Arc; Schneider RTUs embedded sensor (2025),Energy & critical infrastructure,https://www.nozominetworks.com/press-release/schneider-electric-partners-with-nozomi-networks-to-secure-and-protect-critical-infrastructure; https://www.prnewswire.com/news-releases/nozomi-networks-welcomes-schneider-electric-to-its-mssp-elite-partner-program-to-deliver-advanced-managed-security-services-worldwide-302374516.html; https://www.prnewswire.com/news-releases/nozomi-networks-and-schneider-electric-deliver-worlds-first-security-sensor-embedded-in-remote-terminal-units-302528631.html
ABB,Nozomi Networks,Global partnership,OT/IoT visibility & threat detection,Integrated with ABB Ability cybersecurity services,"Energy, process & hybrid industries",https://www.nozominetworks.com/press-release/abb-joins-forces-with-nozomi-networks-to-strengthen-the-cybersecurity-of-industrial-infrastructure-worldwide
ABB,Microsoft (Azure/Defender ecosystem),Strategic collaboration,Cloud + AI + security for industrial operations,ABB Ability platform on Azure; security whitepaper with Microsoft/NXP,Industrial & utilities,https://azure.microsoft.com/mediahandler/files/resourcefiles/-a-solution-for-360-degree-industrial-internet-security/ABB-MSFT-NXP_Cybersecurity%20Whitepaper_2021.pdf
GE (Digital/Power/Vernova),Nozomi Networks,Global partnership,OT visibility & real-time monitoring,GE Power customer deployments; Proficy integration by partners,Energy & critical infrastructure; applicable to water,https://www.nozominetworks.com/press-release/ge-and-nozomi-networks-to-enhance-cyber-security-for-energy-and-industrial-operators-worldwide
Mitsubishi Electric (ICONICS),Dispel,e-F@ctory Alliance partnership,"Zero Trust remote access (MTD), secure vendor access",e-F@ctory + Dispel ZTNA for industrial,Manufacturing & infrastructure,https://mitsubishisolutions.com/bridging-the-it-ot-security-gap/
